"Statistic","Year","Area of Origin","UNIT","VALUE"
"Consumption Goods (Food, Drink and Tobacco)","2013","All Countries","Euro Thousand","4993800"
"Consumption Goods (Food, Drink and Tobacco)","2013","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2013","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1904900"
"Consumption Goods (Food, Drink and Tobacco)","2013","Great Britain and Northern Ireland","Euro Thousand","2568900"
"Consumption Goods (Food, Drink and Tobacco)","2014","All Countries","Euro Thousand","5316600"
"Consumption Goods (Food, Drink and Tobacco)","2014","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2014","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2003400"
"Consumption Goods (Food, Drink and Tobacco)","2014","Great Britain and Northern Ireland","Euro Thousand","2764400"
"Consumption Goods (Food, Drink and Tobacco)","2015","All Countries","Euro Thousand","5746700"
"Consumption Goods (Food, Drink and Tobacco)","2015","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2015","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2186500"
"Consumption Goods (Food, Drink and Tobacco)","2015","Great Britain and Northern Ireland","Euro Thousand","2931500"
"Consumption Goods (Food, Drink and Tobacco)","2016","All Countries","Euro Thousand","5847100"
"Consumption Goods (Food, Drink and Tobacco)","2016","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2016","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2290700"
"Consumption Goods (Food, Drink and Tobacco)","2016","Great Britain and Northern Ireland","Euro Thousand","2902100"
"Consumption Goods (Food, Drink and Tobacco)","2017","All Countries","Euro Thousand","6159859"
"Consumption Goods (Food, Drink and Tobacco)","2017","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2017","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2339599"
"Consumption Goods (Food, Drink and Tobacco)","2017","Great Britain and Northern Ireland","Euro Thousand","3174312"
"Consumption Goods (Food, Drink and Tobacco)","2018","All Countries","Euro Thousand","6376805"
"Consumption Goods (Food, Drink and Tobacco)","2018","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2018","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2377626"
"Consumption Goods (Food, Drink and Tobacco)","2018","Great Britain and Northern Ireland","Euro Thousand","3351819"
"Consumption Goods (Food, Drink and Tobacco)","2019","All Countries","Euro Thousand","6578853"
"Consumption Goods (Food, Drink and Tobacco)","2019","European Union - 27 countries (from 2020)","Euro Thousand","."
"Consumption Goods (Food, Drink and Tobacco)","2019","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2430093"
"Consumption Goods (Food, Drink and Tobacco)","2019","Great Britain and Northern Ireland","Euro Thousand","3452385"
"Consumption Goods (Food, Drink and Tobacco)","2020","All Countries","Euro Thousand","6609402"
"Consumption Goods (Food, Drink and Tobacco)","2020","European Union - 27 countries (from 2020)","Euro Thousand","2546275"
"Consumption Goods (Food, Drink and Tobacco)","2020","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","."
"Consumption Goods (Food, Drink and Tobacco)","2020","Great Britain and Northern Ireland","Euro Thousand","3365977"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1938","All Countries","Euro Thousand","10792"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1938","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1938","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1938","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1939","All Countries","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1939","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1939","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1939","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1940","All Countries","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1940","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1940","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1940","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1941","All Countries","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1941","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1941","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1941","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1942","All Countries","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1942","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1942","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1942","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1943","All Countries","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1943","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1943","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1943","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1944","All Countries","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1944","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1944","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1944","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1945","All Countries","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1945","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1945","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1945","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1946","All Countries","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1946","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1946","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1946","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1947","All Countries","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1947","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1947","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1947","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1948","All Countries","Euro Thousand","32552"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1948","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1948","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1948","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1949","All Countries","Euro Thousand","31792"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1949","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1949","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1949","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1950","All Countries","Euro Thousand","35591"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1950","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1950","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1950","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1951","All Countries","Euro Thousand","46905"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1951","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1951","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1951","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1952","All Countries","Euro Thousand","37192"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1952","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1952","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1952","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1953","All Countries","Euro Thousand","38448"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1953","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1953","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1953","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1954","All Countries","Euro Thousand","38759"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1954","European Union - 27 countries (from 2020)","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1954","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1954","Great Britain and Northern Ireland","Euro Thousand",""
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1955","All Countries","Euro Thousand","45215"
"Other Consumption Goods (Other Than Food, Drink and Tobacco)","1955","European Union - 27 countries (from 2020)","Euro Thousand",""
